Date,7-day-moving-avg,prior_year_7d_moving_avg,Delta Change
21-01-22 0:00,3758906.857,3510539.857,0.070748947
27-09-22 0:00,3982730.857,3717476.714,0.071353276
09-07-22 0:00,4126853.143,3845377,0.073198582
25-05-22 0:00,3892970.857,3623640.143,0.07432601
10-07-22 0:00,3932393.857,3646606.143,0.078370875
11-07-22 0:00,3898488.714,3613955.286,0.078731862
20-12-22 0:00,3962346.714,3666838.286,0.080589436
02-07-22 0:00,3939915.143,3644238.429,0.081135392
03-11-22 0:00,4167483.857,3853970.429,0.081348166
19-06-22 0:00,4184731.429,3867748.571,0.081955394
23-10-22 0:00,3806902.286,3516782.571,0.082495778
24-10-22 0:00,3688954.571,3407512.571,0.08259456
10-05-22 0:00,3937474.714,3635377.143,0.083099376
11-06-22 0:00,4220130,3893356,0.083931189
15-08-22 0:00,4051469.429,3737490,0.084008099
23-01-22 0:00,3535297,3260421.143,0.084306856
23-09-22 0:00,3796964,3499866,0.084888393
08-08-22 0:00,4052468.857,3735357.714,0.084894451
09-08-22 0:00,4029180.714,3710955.143,0.085753009
14-08-22 0:00,4137481.571,3802854.143,0.087993758
04-07-22 0:00,4090186,3757998.429,0.088394814
13-06-22 0:00,4032132,3704048.286,0.088574362
22-10-22 0:00,3915414.143,3594068.857,0.089409886
21-11-22 0:00,3796673.571,3483628.143,0.089861895
24-09-22 0:00,4010931.857,3677577.571,0.090645073
02-06-22 0:00,4027931.143,3691036.571,0.091273702
08-06-22 0:00,4199489.714,3846337.714,0.091815131
04-11-22 0:00,4095104.571,3741207.571,0.094594324
13-07-22 0:00,3926717,3584423.143,0.095494824
03-06-22 0:00,3999939.714,3649855.143,0.095917388
23-05-22 0:00,3930139.571,3586105.286,0.095935355
04-08-22 0:00,3986387.857,3636410.143,0.09624264
18-11-22 0:00,3798473.429,3464351.571,0.096445713
20-03-22 0:00,3494811.286,3184850,0.097323669
12-06-22 0:00,4063498.714,3701710.143,0.097735521
21-10-22 0:00,4039451.571,3676777.857,0.098639006
19-11-22 0:00,3880093.857,3527708.286,0.099890791
28-06-22 0:00,4321752.714,3921734.429,0.10200035
15-06-22 0:00,4188352.286,3795913,0.103384689
26-08-22 0:00,4053047.714,3669969.857,0.104381745
20-06-22 0:00,4351068.714,3932844.857,0.106341306
24-01-22 0:00,3332684.429,3012253.143,0.106375949
19-04-22 0:00,4171072.286,3768462.286,0.10683668
31-05-22 0:00,3828063.143,3456611.286,0.107461275
25-06-22 0:00,4219055.714,3806473.429,0.10838964
15-10-22 0:00,3876587.143,3496545.857,0.108690491
27-05-22 0:00,3920473.286,3532433.857,0.109850444
14-06-22 0:00,4265869,3838159.857,0.11143599
18-04-22 0:00,4084662,3674733.857,0.111553152
17-09-22 0:00,4030860.143,3624909.714,0.111989114
02-10-22 0:00,3822141.714,3429076.571,0.114627112
16-09-22 0:00,4121198.143,3692817.429,0.116003762
27-04-22 0:00,4020348.571,3592541.286,0.119082079
26-10-22 0:00,3880827.714,3466980,0.119368359
18-10-22 0:00,4149004.286,3704928,0.119860976
27-08-22 0:00,4143222.571,3696987.571,0.120702326
25-09-22 0:00,4110810.857,3660875.571,0.122903736
27-06-22 0:00,4178506,3720999.143,0.122952691
10-08-22 0:00,4120761.286,3668262.714,0.123355007
22-03-22 0:00,3594099.143,3190511.143,0.126496346
05-08-22 0:00,4020664.143,3566809.286,0.127243937
05-10-22 0:00,4306280.429,3817857.286,0.127931221
08-07-22 0:00,4302091.429,3803701,0.131027762
12-08-22 0:00,4024165.429,3557022.429,0.131329788
31-10-22 0:00,4072214,3596896.714,0.132146493
24-07-22 0:00,3976025.714,3511382.571,0.132324842
06-10-22 0:00,4249515,3747998.571,0.13380913
08-04-22 0:00,4242621,3739946.286,0.134406934
16-08-22 0:00,4123673.143,3626302.429,0.137156435
07-10-22 0:00,4243913.571,3731632.286,0.137280752
03-04-22 0:00,4060881.286,3564018.286,0.139410901
25-10-22 0:00,3870195.714,3395864.857,0.139678956
17-06-22 0:00,4234419,3712786.286,0.140496294
03-10-22 0:00,3970221.571,3479854.286,0.14091604
06-08-22 0:00,4186499.429,3666573.571,0.141801562
12-07-22 0:00,3878609.571,3382356.571,0.146718121
